Item Number,Date,Inventory
064-01-1347,17-06-2023,3561
064-01-1361,17-06-2023,4035
064-01-1375,17-06-2023,2684
064-01-1385,17-06-2023,5136
064-01-1399,17-06-2023,6399
064-01-1409,17-06-2023,10135
064-01-1423,17-06-2023,3309
064-01-1430,17-06-2023,2451
064-01-1437,17-06-2023,2056
064-01-1444,17-06-2023,5449
064-01-1348,17-06-2023,3028
064-01-1362,17-06-2023,3881
064-01-1376,17-06-2023,2
064-01-1386,17-06-2023,2719
064-01-1400,17-06-2023,6879
064-01-1410,17-06-2023,5445
064-01-1424,17-06-2023,1452
064-01-1431,17-06-2023,2020
064-01-1438,17-06-2023,5
064-01-1445,17-06-2023,3449
064-01-1349,17-06-2023,2036
064-01-1363,17-06-2023,3516
064-01-1388,17-06-2023,2959
064-01-1401,17-06-2023,3750
064-01-1411,17-06-2023,2723
064-01-1446,17-06-2023,2836
064-01-1346,17-06-2023,2954
064-01-1360,17-06-2023,2835
064-01-1384,17-06-2023,3070
064-01-1398,17-06-2023,4669
064-01-1408,17-06-2023,4313
064-01-1443,17-06-2023,6665
064-01-0006,17-06-2023,10
064-01-1449,17-06-2023,1
064-01-1450,17-06-2023,4
064-01-1451,17-06-2023,7
064-01-1452,17-06-2023,8
064-01-1926,17-06-2023,40
064-01-2259,17-06-2023,175
064-01-8348,17-06-2023,37
064-01-1350,17-06-2023,1
064-01-1402,17-06-2023,1
064-01-1412,17-06-2023,1
064-01-1447,17-06-2023,1
064-01-1351,17-06-2023,2488
064-01-1365,17-06-2023,4620
064-01-1389,17-06-2023,3908
064-01-1403,17-06-2023,7509
064-01-1413,17-06-2023,7424
064-01-1448,17-06-2023,6046
064-02-1500,17-06-2023,4
064-02-1511,17-06-2023,16
064-09-0557,17-06-2023,90
064-09-0566,17-06-2023,88
064-09-0014,17-06-2023,54
064-09-0041,17-06-2023,10792
064-09-0059,17-06-2023,13748
064-09-0131,17-06-2023,101
064-09-0675,17-06-2023,57
064-09-1521,17-06-2023,67
064-09-1531,17-06-2023,155
064-09-1544,17-06-2023,29
064-09-1578,17-06-2023,143
064-09-1621,17-06-2023,104
064-09-2702,17-06-2023,157
064-09-3267,17-06-2023,74
064-09-3413,17-06-2023,7267
064-09-3600,17-06-2023,7280
064-09-3654,17-06-2023,17337
064-09-4178,17-06-2023,27
064-09-4201,17-06-2023,135
064-09-4302,17-06-2023,73
064-09-4332,17-06-2023,6272
064-09-4784,17-06-2023,6971
064-09-5086,17-06-2023,7095
064-09-5125,17-06-2023,15185
064-09-6094,17-06-2023,14240
064-09-6380,17-06-2023,7638
064-09-7234,17-06-2023,43
064-09-8707,17-06-2023,8890
064-09-0012,17-06-2023,20
064-09-0042,17-06-2023,9923
064-09-0129,17-06-2023,2
064-09-0465,17-06-2023,103
064-09-0466,17-06-2023,133
064-09-0467,17-06-2023,69
064-09-0468,17-06-2023,1
064-09-0942,17-06-2023,9639
064-09-1062,17-06-2023,9616
064-09-1420,17-06-2023,55
064-09-1520,17-06-2023,74
064-09-1530,17-06-2023,398
064-09-1577,17-06-2023,467
064-09-1587,17-06-2023,27
064-09-1602,17-06-2023,1
064-09-1611,17-06-2023,649
064-09-1620,17-06-2023,167
064-09-1854,17-06-2023,62
064-09-1950,17-06-2023,91
064-09-2370,17-06-2023,122
064-09-3316,17-06-2023,116
064-09-3418,17-06-2023,69
064-09-3787,17-06-2023,27104
064-09-4450,17-06-2023,9728
064-09-4771,17-06-2023,18
064-09-5282,17-06-2023,10333
064-09-5287,17-06-2023,20909
064-09-5612,17-06-2023,176
064-09-5929,17-06-2023,118
064-09-6514,17-06-2023,52
064-09-7924,17-06-2023,21307
064-09-8249,17-06-2023,10613
064-09-8755,17-06-2023,16
064-09-8811,17-06-2023,147
064-09-9129,17-06-2023,11435
064-09-9139,17-06-2023,9314
064-09-2284,17-06-2023,199
064-09-3490,17-06-2023,6171
064-09-5052,17-06-2023,197
064-09-5503,17-06-2023,6204
064-09-6049,17-06-2023,128
064-09-6933,17-06-2023,6048
064-09-9367,17-06-2023,107
064-09-9595,17-06-2023,252
064-09-9610,17-06-2023,255
064-09-0631,17-06-2023,9284
064-09-3154,17-06-2023,3104
064-09-4261,17-06-2023,9805
064-09-7633,17-06-2023,9940
064-09-9076,17-06-2023,21342
064-09-9115,17-06-2023,21526
064-09-0132,17-06-2023,3
064-09-0599,17-06-2023,2
064-09-2788,17-06-2023,97
064-09-5106,17-06-2023,6
064-09-6390,17-06-2023,647
064-09-9684,17-06-2023,181
064-09-9949,17-06-2023,69
064-09-0004,17-06-2023,10
064-09-0005,17-06-2023,11
064-09-0600,17-06-2023,1
064-09-0607,17-06-2023,1
064-09-2151,17-06-2023,12
064-09-4464,17-06-2023,21
064-09-6143,17-06-2023,49
064-09-7154,17-06-2023,46
064-09-0006,17-06-2023,10150
064-09-0612,17-06-2023,1
064-09-0619,17-06-2023,1
064-09-0626,17-06-2023,1
064-09-0735,17-06-2023,1
064-09-2179,17-06-2023,6756
064-09-2715,17-06-2023,176
064-09-3869,17-06-2023,83
064-09-4642,17-06-2023,5046
064-09-4685,17-06-2023,52
064-09-4735,17-06-2023,62
064-09-5794,17-06-2023,65
064-09-8353,17-06-2023,7262
064-09-8964,17-06-2023,35
064-09-0043,17-06-2023,10192
064-09-0250,17-06-2023,10206
064-09-3958,17-06-2023,4914
064-09-5457,17-06-2023,6132
064-09-5559,17-06-2023,8836
064-09-8136,17-06-2023,17414
064-09-9411,17-06-2023,2735
064-09-0673,17-06-2023,1
064-09-0679,17-06-2023,3
064-09-0054,17-06-2023,12303
064-09-0733,17-06-2023,11609
064-09-2641,17-06-2023,17952
064-09-6826,17-06-2023,22891
064-11-1318,17-06-2023,1
064-11-1343,17-06-2023,1
064-11-0005,17-06-2023,4988
064-11-0082,17-06-2023,7206
064-11-0151,17-06-2023,13945
064-11-0594,17-06-2023,10957
064-11-0996,17-06-2023,18089
064-11-1026,17-06-2023,12337
064-11-2793,17-06-2023,15529
064-11-2824,17-06-2023,8036
064-11-4530,17-06-2023,7754
064-11-5125,17-06-2023,10005
064-11-7184,17-06-2023,675
064-11-9132,17-06-2023,1257
064-13-0058,17-06-2023,1
064-13-0282,17-06-2023,1
064-13-0312,17-06-2023,9
064-13-0216,17-06-2023,2
064-13-0644,17-06-2023,1
064-13-0295,17-06-2023,2
064-13-0296,17-06-2023,1
064-13-0297,17-06-2023,1
064-13-0326,17-06-2023,754
064-13-0337,17-06-2023,872
064-13-0352,17-06-2023,6
064-13-0376,17-06-2023,2
064-13-0390,17-06-2023,8
064-13-0396,17-06-2023,8
064-13-0414,17-06-2023,7
064-13-0431,17-06-2023,1613
064-13-0327,17-06-2023,3106
064-13-0338,17-06-2023,6234
064-13-0351,17-06-2023,4809
064-13-0391,17-06-2023,8
064-13-0415,17-06-2023,93
064-13-0432,17-06-2023,3968
064-13-0228,17-06-2023,7619
064-13-0332,17-06-2023,8456
064-13-0340,17-06-2023,8358
064-13-0365,17-06-2023,12971
064-13-0379,17-06-2023,12
064-13-0397,17-06-2023,4906
064-13-0417,17-06-2023,6309
064-13-0949,17-06-2023,468
064-13-2398,17-06-2023,104
064-13-3896,17-06-2023,7761
064-13-5554,17-06-2023,6366
064-13-0010,17-06-2023,9052
064-13-0328,17-06-2023,9524
064-13-0353,17-06-2023,9920
064-13-0392,17-06-2023,4
064-13-0416,17-06-2023,6699
064-13-0433,17-06-2023,6799
064-13-6802,17-06-2023,16613
064-13-9500,17-06-2023,103
064-13-0002,17-06-2023,9599
064-13-0007,17-06-2023,3169
064-13-3028,17-06-2023,1
064-13-3112,17-06-2023,1
064-13-3653,17-06-2023,5485
064-13-4042,17-06-2023,2
064-13-5550,17-06-2023,6434
064-13-6992,17-06-2023,208
064-13-8580,17-06-2023,5227
064-13-8709,17-06-2023,1
064-13-8947,17-06-2023,15252
064-13-0345,17-06-2023,3634
064-13-0358,17-06-2023,4560
064-13-0370,17-06-2023,838
064-13-0402,17-06-2023,235
064-13-0425,17-06-2023,524
064-13-0438,17-06-2023,3767
064-13-0563,17-06-2023,194
064-13-0346,17-06-2023,324
064-13-0359,17-06-2023,3694
064-13-0371,17-06-2023,1136
064-13-0403,17-06-2023,247
064-13-0426,17-06-2023,843
064-13-0439,17-06-2023,3892
064-13-4782,17-06-2023,349
064-13-0003,17-06-2023,2
064-15-5738,17-06-2023,11715
064-15-5777,17-06-2023,7005
064-15-6305,17-06-2023,17374
064-15-7068,17-06-2023,11573
064-15-7174,17-06-2023,5500
064-15-8650,17-06-2023,8
064-18-5152,17-06-2023,3
064-18-3517,17-06-2023,1
064-18-0611,17-06-2023,1
064-18-3518,17-06-2023,3
064-18-3662,17-06-2023,4
064-18-0267,17-06-2023,8790
064-18-0493,17-06-2023,4361
064-18-0494,17-06-2023,5329
064-18-2301,17-06-2023,1
