Item Number,Inventory Receive,Total Item Qty
064-13-0002,07-07-2023,700
064-13-0338,07-07-2023,1700
064-13-0340,07-07-2023,1000
064-13-0353,07-07-2023,1900
064-13-0416,07-07-2023,1000
064-13-0010,09-07-2023,3140
064-15-5738,09-07-2023,5976
064-15-5777,09-07-2023,4428
064-15-6305,09-07-2023,7352
064-15-7068,09-07-2023,9064
064-15-7174,09-07-2023,6276
064-18-2305,21-07-2023,1134
064-18-2358,21-07-2023,1620
064-18-0267,21-07-2023,1302
064-18-2854,21-07-2023,1404
064-18-3729,21-07-2023,2754
064-18-0493,21-07-2023,1600
064-18-0494,21-07-2023,1600
064-18-6538,21-07-2023,888
064-18-6539,21-07-2023,834
064-18-9089,21-07-2023,1600
064-18-9724,21-07-2023,1600
064-13-0402,16-08-2023,500
064-13-0403,16-08-2023,248
064-13-0425,16-08-2023,300
064-13-4782,16-08-2023,700
064-18-2305,16-08-2023,408
064-18-2320,16-08-2023,1824
064-18-2852,16-08-2023,1788
064-18-2853,16-08-2023,1752
064-18-3316,16-08-2023,500
064-18-3712,16-08-2023,2598
064-18-3723,16-08-2023,618
064-18-3729,16-08-2023,36
064-18-0493,16-08-2023,1176
064-18-0494,16-08-2023,792
064-18-5659,16-08-2023,2548
064-18-5660,16-08-2023,2208
064-18-6539,16-08-2023,2232
064-18-7128,16-08-2023,3248
064-18-8362,16-08-2023,852
064-18-9089,16-08-2023,1824
064-18-9182,16-08-2023,4228
064-18-9938,16-08-2023,2084
064-18-2305,13-10-2023,2430
064-18-2320,13-10-2023,786
064-18-2358,13-10-2023,2238
064-18-0267,13-10-2023,1920
064-18-2852,13-10-2023,1464
064-18-2853,13-10-2023,150
064-18-2854,13-10-2023,2250
064-18-3017,13-10-2023,2382
064-18-3316,13-10-2023,1380
064-18-3665,13-10-2023,2310
064-18-3712,13-10-2023,2166
064-18-3723,13-10-2023,498
064-18-3729,13-10-2023,1200
064-18-4153,13-10-2023,3402
064-18-0493,13-10-2023,1268
064-18-0494,13-10-2023,3344
064-18-5658,13-10-2023,248
064-18-5659,13-10-2023,2016
064-18-5660,13-10-2023,2588
064-18-6538,13-10-2023,1920
064-18-6539,13-10-2023,2214
064-18-6578,13-10-2023,3498
064-18-7128,13-10-2023,3352
064-18-8362,13-10-2023,1308
064-18-9089,13-10-2023,484
064-18-9182,13-10-2023,2416
064-18-9667,13-10-2023,992
064-18-9724,13-10-2023,200
064-18-9938,13-10-2023,1976
064-09-1062,10-07-2023,740
064-09-2179,10-07-2023,612
064-09-0250,10-07-2023,700
064-09-3413,10-07-2023,628
064-09-3600,10-07-2023,524
064-09-3654,10-07-2023,1000
064-09-3787,10-07-2023,1500
064-09-3958,10-07-2023,524
064-09-0041,10-07-2023,912
064-09-0042,10-07-2023,700
064-09-4261,10-07-2023,700
064-09-0043,10-07-2023,792
064-09-4332,10-07-2023,544
064-09-4450,10-07-2023,700
064-09-4642,10-07-2023,612
064-09-4784,10-07-2023,592
064-09-5086,10-07-2023,544
064-09-5125,10-07-2023,1100
064-09-5282,10-07-2023,760
064-09-5287,10-07-2023,1200
064-09-5457,10-07-2023,524
064-09-5503,10-07-2023,384
064-09-5559,10-07-2023,700
064-09-0059,10-07-2023,928
064-09-0006,10-07-2023,832
064-09-6094,10-07-2023,1100
064-09-0631,10-07-2023,700
064-09-6380,10-07-2023,664
064-09-6933,10-07-2023,384
064-09-7633,10-07-2023,932
064-09-7924,10-07-2023,1200
064-09-8136,10-07-2023,1000
064-09-8249,10-07-2023,892
064-09-8353,10-07-2023,612
064-09-8707,10-07-2023,664
064-09-9076,10-07-2023,1300
064-09-9115,10-07-2023,1400
064-09-9129,10-07-2023,868
064-09-9139,10-07-2023,716
064-09-9411,10-07-2023,472
064-09-0942,10-07-2023,700
064-18-0127,04-08-2023,23580
064-18-3155,04-08-2023,19980
064-18-1490,08-09-2023,1848
064-11-1026,16-08-2023,4000
064-11-2793,16-08-2023,3200
064-11-2824,16-08-2023,6200
064-11-0005,16-08-2023,4500
064-11-0594,16-08-2023,4000
064-11-0082,16-08-2023,7500
064-11-0996,16-08-2023,6000
064-18-1490,25-08-2023,1848
064-13-0010,16-08-2023,4000
064-13-0327,16-08-2023,5000
064-13-0416,16-08-2023,6000
064-13-0433,16-08-2023,8000
064-13-0007,16-08-2023,2000
064-15-5738,07-07-2023,1200
064-15-6305,07-07-2023,2300
064-15-7068,07-07-2023,2172
064-15-7174,07-07-2023,1764
064-13-0402,08-09-2023,300
064-01-0012,13-10-2023,3244
064-01-0013,13-10-2023,1748
064-01-1326,13-10-2023,760
064-01-0016,13-10-2023,1608
064-01-0017,13-10-2023,916
064-01-0018,13-10-2023,2164
064-01-0019,13-10-2023,4056
064-01-2156,13-10-2023,1680
064-01-2694,13-10-2023,1060
064-01-0003,13-10-2023,1864
064-01-3170,13-10-2023,3676
064-01-3372,13-10-2023,1896
064-01-3476,13-10-2023,2704
064-01-0035,13-10-2023,1864
064-01-3690,13-10-2023,1252
064-01-4033,13-10-2023,852
064-01-4219,13-10-2023,1800
064-01-0005,13-10-2023,2520
064-01-5407,13-10-2023,1528
064-01-5543,13-10-2023,1864
064-01-6765,13-10-2023,4056
064-01-6878,13-10-2023,1624
064-01-0700,13-10-2023,2292
064-01-7347,13-10-2023,2508
064-01-7573,13-10-2023,1976
064-01-7675,13-10-2023,1000
064-01-8373,13-10-2023,2428
064-01-9024,13-10-2023,2960
064-01-0092,13-10-2023,872
064-01-9479,13-10-2023,780
064-01-9521,13-10-2023,1224
064-01-1346,10-07-2023,2000
064-01-1347,10-07-2023,2000
064-01-1348,10-07-2023,1644
064-01-1349,10-07-2023,1904
064-01-1351,10-07-2023,648
064-01-1360,10-07-2023,2300
064-01-1361,10-07-2023,2000
064-01-1362,10-07-2023,2544
064-01-1363,10-07-2023,3308
064-01-1365,10-07-2023,1000
064-01-1384,10-07-2023,2000
064-01-1385,10-07-2023,2000
064-01-1388,10-07-2023,1300
064-01-1389,10-07-2023,644
064-01-1398,10-07-2023,2704
064-01-1399,10-07-2023,2400
064-01-1400,10-07-2023,564
064-01-1401,10-07-2023,2400
064-01-1403,10-07-2023,1000
064-01-1408,10-07-2023,2824
064-01-1409,10-07-2023,3096
064-01-1410,10-07-2023,2000
064-01-1443,10-07-2023,2000
064-01-1444,10-07-2023,2000
064-01-1445,10-07-2023,1200
064-01-1448,10-07-2023,1000
064-09-1062,09-07-2023,1108
064-09-2179,09-07-2023,920
064-09-0250,09-07-2023,1048
064-09-3154,09-07-2023,360
064-09-3413,09-07-2023,944
064-09-3490,09-07-2023,576
